name,category,medium,description,protocols,latency,bandwidth,range,reliability,security,complexity,cost,cost_model,recommended_devices,industry_fit,use_case,pros,cons,standards,resource_url
SIA DC-09 alarm signaling,web,ethernet_ip,"SIA DC-09 alarm signaling as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SIA DC-09; TCP; UDP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Security; Insurance; Monitoring centers,Standardized alarm-over-IP path replaces dial-up alarm lines.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SIA DC-09; TCP; UDP,https://www.siaonline.org/what-we-do/standards/
CAP common alerting protocol,web,ethernet_ip,"CAP common alerting protocol as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",CAP; XML; HTTPS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Public safety; Government; Campuses,"Emergency alerts fan out to sirens, paging, and displays.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,CAP; XML; HTTPS,https://docs.oasis-open.org/emergency/cap/v1.2/CAP-v1.2-os.html
EAS / SAME alert relay,non_web,radio_broadcast,"EAS / SAME alert relay as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SAME; EAS,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Public safety; Broadcast; Campuses,Broadcast alert codes trigger local warning equipment.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SAME; EAS,https://www.weather.gov/nwr/same
POCSAG paging,non_web,radio_paging,"POCSAG paging as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",POCSAG,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Healthcare; Public safety; Hospitality,One-way paging messages activate staff or device workflows.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,POCSAG,https://www.etsi.org/deliver/etsi_en/300200_300299/300224/
FLEX paging,non_web,radio_paging,"FLEX paging as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",FLEX,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Healthcare; Public safety; Industrial sites,High-capacity paging protocol for one-way alert command paths.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,FLEX,https://www.etsi.org/
TETRA SDS messaging,non_web,licensed_radio,"TETRA SDS messaging as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",TETRA; SDS,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Public safety; Utilities; Transportation,Mission-critical radio short data service sends commands.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,TETRA; SDS,https://www.etsi.org/technologies/tetra
DMR data / text messaging,non_web,licensed_radio,"DMR data / text messaging as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",DMR; ETSI TS 102 361,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Security; Facilities; Utilities,Digital mobile radio data packets command remote units.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,DMR; ETSI TS 102 361,https://www.etsi.org/technologies/digital-mobile-radio
P25 data messaging,non_web,licensed_radio,"P25 data messaging as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Project 25; P25,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Public safety; Government; Utilities,Public-safety radio data path for critical control messages.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Project 25; P25,https://www.apcointl.org/spectrum-management/p25/
Wi-SUN FAN,non_web,radio_subghz_mesh,"Wi-SUN FAN as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Wi-SUN; IPv6; 6LoWPAN,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Utilities; Smart city; Street lighting,Utility-grade sub-GHz IPv6 mesh for field devices.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Wi-SUN; IPv6; 6LoWPAN,https://wi-sun.org/technology/
6LoWPAN mesh,non_web,radio_802_15_4,"6LoWPAN mesh as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",6LoWPAN; IPv6,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",IoT; Smart building; Agriculture,IPv6 packets run over low-power IEEE 802.15.4 mesh.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,6LoWPAN; IPv6,https://www.rfc-editor.org/rfc/rfc4944
Wireless M-Bus,non_web,radio_subghz,"Wireless M-Bus as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Wireless M-Bus; EN 13757,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Utilities; Smart metering; Facilities,Metering radio protocol for utility and building telemetry.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Wireless M-Bus; EN 13757,https://www.oms-group.org/en/about-oms/technology/
Sigfox / ultra-narrowband IoT,non_web,radio_unb,"Sigfox / ultra-narrowband IoT as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Sigfox; UNB,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Logistics; Agriculture; Asset tracking,Ultra-narrowband low-power messages for simple remote triggers.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Sigfox; UNB,https://build.sigfox.com/
Mioty telegram splitting,non_web,radio_lpwans,"Mioty telegram splitting as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",mioty; TS-UNB,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Industrial IoT; Utilities; Smart city,Robust LPWAN telegram splitting for dense industrial sensing.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,mioty; TS-UNB,https://mioty-alliance.com/technology/
DECT-ULE,non_web,radio_dect,"DECT-ULE as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",DECT-ULE,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Smart building; Healthcare; Hospitality,Low-power DECT-based building device control.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,DECT-ULE,https://www.ulealliance.org/
Wi-Fi Aware / NAN,non_web,wifi_direct,"Wi-Fi Aware / NAN as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Wi-Fi Aware; NAN,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Retail; Facilities; Mobile workflows,Nearby devices discover and command each other without AP setup.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Wi-Fi Aware; NAN,https://www.wi-fi.org/discover-wi-fi/wi-fi-aware
Wi-Fi Direct,non_web,wifi_direct,"Wi-Fi Direct as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Wi-Fi Direct,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Kiosks; Field service; Facilities,Peer-to-peer Wi-Fi link for local command panels.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Wi-Fi Direct,https://www.wi-fi.org/discover-wi-fi/wi-fi-direct
NFC tap trigger,non_web,near_field,"NFC tap trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",NFC; ISO 14443,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Access control; Retail; Field service,Phone or tag tap starts authenticated local command workflow.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,NFC; ISO 14443,https://nfc-forum.org/learn/specifications/
RFID reader event trigger,non_web,near_field,"RFID reader event trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",RFID; EPC Gen2,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Logistics; Warehousing; Retail,"Reader events trigger doors, conveyors, or call workflows.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,RFID; EPC Gen2,https://www.gs1.org/standards/epc-rfid
UWB ranging trigger,non_web,radio_uwb,"UWB ranging trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",UWB; IEEE 802.15.4z,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Healthcare; Warehousing; Secure access,Precise location/ranging events trigger local actions.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,UWB; IEEE 802.15.4z,https://www.firaconsortium.org/discover/specifications
GNSS geofence trigger,non_web,satellite_navigation,"GNSS geofence trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",GNSS; GPS,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation; high engineering/infrastructure,"100-100,000 remote devices",Fleet; Logistics; Field service,Device position crossing a geofence initiates command workflows.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,GNSS; GPS,https://www.gps.gov/systems/gps/
Cell broadcast command alert,non_web,cellular_broadcast,"Cell broadcast command alert as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Cell Broadcast; 3GPP,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation; subscription or message/device fees,"100-100,000 remote devices",Public safety; Telecom; Critical alerts,One-to-many cellular broadcast reaches many devices in an area.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Cell Broadcast; 3GPP,https://www.3gpp.org/specifications-technologies/specifications-by-series
USSD session command,non_web,cellular,"USSD session command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",USSD; GSM,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation; subscription or message/device fees,"100-100,000 remote devices",Telecom; Field operations; Emerging markets,Interactive carrier session carries short command choices.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,USSD; GSM,https://www.3gpp.org/
IMS data channel,web,cellular_ip,"IMS data channel as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",IMS; RCS; SIP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium; subscription or message/device fees,"100-100,000 remote devices",Telecom; Contact center; Consumer services,Carrier IMS/RCS channel carries rich command interactions.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,IMS; RCS; SIP,https://www.gsma.com/solutions-and-impact/technologies/networks/rcs/
RCS business messaging trigger,web,cellular_ip,"RCS business messaging trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",RCS; RBM,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium; subscription or message/device fees,"100-100,000 remote devices",Retail; Contact center; Field service,Verified business messages trigger workflows via rich actions.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,RCS; RBM,https://www.gsma.com/solutions-and-impact/technologies/networks/rcs/
Email-to-command parser,web,internet_mail,"Email-to-command parser as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SMTP; IMAP; DKIM,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",SMB; Facilities; Maintenance,Signed email messages are parsed into low-urgency commands.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SMTP; IMAP; DKIM,https://www.rfc-editor.org/rfc/rfc5321
SFTP drop-file command,web,ethernet_ip,"SFTP drop-file command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SFTP; SSH,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Manufacturing; Finance; Legacy integration,A watched secure file drop converts batch files into commands.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SFTP; SSH,https://www.openssh.com/manual.html
MQTT over WebSocket,web,ethernet_ip,"MQTT over WebSocket as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",MQTT; WebSocket,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium; platform/broker plus usage,"100-1,000,000 endpoints/events",IoT; SaaS; Smart building,Browser/cloud friendly MQTT transport over standard web ports.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,MQTT; WebSocket,https://mqtt.org/
OPC UA PubSub over MQTT,web,ethernet_ip,"OPC UA PubSub over MQTT as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",OPC UA PubSub; MQTT,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium; platform/broker plus usage,"10-10,000 industrial points",Manufacturing; Industrial IoT; Utilities,Industrial semantic messages ride MQTT brokers.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,OPC UA PubSub; MQTT,https://opcfoundation.org/about/opc-technologies/opc-ua/
Digital input over IP I/O module,web,ethernet_ip,"Digital input over IP I/O module as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",HTTP; Modbus TCP; SNMP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,1-256 local I/O points,Facilities; Industrial automation; Retail,Network I/O module maps IP commands to relay outputs.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,HTTP; Modbus TCP; SNMP,https://www.moxa.com/en/products/industrial-edge-connectivity/controllers-and-ios/universal-controllers-and-i-os
USB HID control relay,non_web,usb,"USB HID control relay as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",USB HID,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Kiosks; Labs; Prototyping,Host toggles USB relay as a local device command.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,USB HID,https://www.usb.org/hid
Serial RS-232 command,non_web,serial_wire,"Serial RS-232 command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",RS-232,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Hospitality; AV; Legacy facilities,Legacy equipment receives ASCII commands over serial.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,RS-232,https://tiaonline.org/what-we-do/standards/
HDMI-CEC device command,non_web,av_bus,"HDMI-CEC device command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",HDMI-CEC,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Hospitality; Meeting rooms; Digital signage,Telephony events control displays and AV equipment.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,HDMI-CEC,https://hdmi.org/spec/index
Infrared blaster,non_web,infrared,"Infrared blaster as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",IR; NEC; RC-5,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Hospitality; AV; Retail,Gateway emits remote-control IR codes to legacy devices.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,IR; NEC; RC-5,https://en.wikipedia.org/wiki/Consumer_IR
Visible/audible tone sensor,non_web,sensor_trigger,"Visible/audible tone sensor as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Audio; Optical,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"1-10,000 sensed physical points",Legacy facilities; Safety retrofits; Maintenance,Sensor detects buzzer/light state and triggers integration.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Audio; Optical,https://www.iso.org/standard/72361.html
